Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.29288400589988794, 0.47034582898746347, 0.9245778345395204, 0.0, 0.0, 0.8019713261648745, 0.0, 0.02482907520690896, 1.0, 0.0, 0.0, 0.0
12, 0.21439784454107638, 0.5505121462108385, 0.9574527349326277, 0.0, 0.0, 0.7998776009791921, 0.0, 0.050533807829181494, 0.0, 0.0, 0.0, 0.0
19, 0.2058595179921115, 0.577989656175314, 0.9533183693278331, 0.0, 0.0, 0.7331466724100797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
26, 0.29817305307833303, 0.6088079434750027, 0.9521856030157718, 0.9986072423398329, 0.0, 0.7203027950310559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
34, 0.2974387023036691, 0.6297556147272448, 0.9448909299655568, 0.9817483189241114, 0.0, 0.7154308617234469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Average, 0.2617506247630156, 0.5674822379151727, 0.946485094356262, 0.39607111225278885, 0.0, 0.7541458512617298, 0.0, 0.01507257660721809, 0.2, 0.0, 0.0, 0.0
