Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.321507442128177, 0.7301602610470816, 0.6488802336903603, 0.5500237079184448, 0.5091383812010444, 0.5982692107183819, 0.0, 0.13152950018789927, 0.3151515151515152, 0.0055248618784530384, 0.0, 0.04790419161676646
12, 0.2053437913141717, 0.6846968571021086, 0.528616999002377, 0.20132657042528285, 0.05525846702317291, 0.6143935581278309, 0.0, 0.1140241364960466, 0.06046511627906977, 0.0, 0.0, 0.0
19, 0.15395414440390404, 0.6537193533061718, 0.4315521098912535, 0.007184553210597216, 0.0006125574272588055, 0.5956308515381186, 0.0, 0.0, 0.004796163069544364, 0.0, 0.0, 0.0
26, 0.14777490142904276, 0.640216718926644, 0.383859863638176, 0.0, 0.0, 0.6014473331546503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
34, 0.14599089593406334, 0.6319257474847669, 0.3591546471681215, 0.0, 0.0, 0.6148194606218083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Average, 0.1949142350418718, 0.6681437875733546, 0.4704127706780577, 0.15170696631086494, 0.11300188113029523, 0.604912082832158, 0.0, 0.04911072733678917, 0.07608255890002587, 0.0011049723756906076, 0.0, 0.009580838323353293
