Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.15015379431816112, 0.9847027316550616, 0.045469625801044196, 0.0, 0.0, 0.2789713031205896, 0.0, 0.328125, 0.014423076923076924, 0.0, 0.0, 0.0
12, 0.1459407708381098, 0.9798607391537225, 0.07139114945338969, 0.0, 0.0, 0.3718049239454289, 0.0, 0.18229166666666666, 0.0, 0.0, 0.0, 0.0
19, 0.13650701896759546, 0.9667273701124799, 0.08432451314295694, 0.0, 0.0, 0.4505253253881135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
26, 0.13816878969927834, 0.9471451526513123, 0.09538531405016419, 0.0, 0.0, 0.4773262199905853, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
34, 0.14049394670146, 0.9321906802356722, 0.10939355830364005, 0.0, 0.0, 0.5038491751767479, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Average, 0.14225286410492094, 0.9621253347616496, 0.08119283215023901, 0.0, 0.0, 0.416495389524293, 0.0, 0.10208333333333333, 0.0028846153846153848, 0.0, 0.0, 0.0
