Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.16995984028909192, 0.9864167113015533, 0.21591087673959733, 0.0, 0.0, 0.2918300141132194, 0.0, 0.3489583333333333, 0.026442307692307692, 0.0, 0.0, 0.0
12, 0.20426934925109427, 0.9824959828602036, 0.48162830498410814, 0.0, 0.0, 0.4130468872510585, 0.0, 0.3697916666666667, 0.0, 0.0, 0.0, 0.0
19, 0.18792864701691503, 0.9793251205141938, 0.5526853549908305, 0.0, 0.0, 0.5352046416810412, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
26, 0.2257705995990418, 0.9747830744509909, 0.6019003702927409, 0.32260987766198457, 0.0, 0.584183273183744, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
34, 0.24360162914262287, 0.9679271558650241, 0.6334451198211416, 0.46080652469415495, 0.0, 0.617439120188531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Average, 0.20630601305975316, 0.9781896089983932, 0.4971140053656836, 0.1566832804712279, 0.0, 0.4883407872835188, 0.0, 0.14375, 0.005288461538461539, 0.0, 0.0, 0.0
