Window Size, Global accuracy, Activity Fill medication dispenser, Activity Wash DVD, Activity Water plants, Activity Answer the phone, Activity Prepare birthday card, Activity Prepare soup, Activity Clean, Activity Choose outfit
5, 0.07624358596372105, 0.04651162790697674, 0.08771929824561403, 0.0, 0.0, 0.32, 0.0, 0.15571776155717762, 0.0
12, 0.09235461572232975, 0.0, 0.09259259259259257, 0.0, 0.0, 0.3103448275862069, 0.1, 0.16042780748663102, 0.07547169811320754
19, 0.16160401780636655, 0.0, 0.36507936507936506, 0.0, 0.0, 0.28070175438596495, 0.13513513513513511, 0.18691588785046728, 0.325
26, 0.20845167430451733, 0.0, 0.5671641791044777, 0.031746031746031744, 0.0, 0.4444444444444445, 0.06557377049180328, 0.23487544483985767, 0.3238095238095238
34, 0.3334855163490423, 0.42857142857142855, 0.6423357664233577, 0.27777777777777773, 0.0, 0.5625000000000001, 0.0851063829787234, 0.30952380952380953, 0.36206896551724144
Average, 0.1744278820291954, 0.09501661129568105, 0.3509782402890814, 0.06190476190476189, 0.0, 0.3835982052833232, 0.07716305772113237, 0.20949214225158866, 0.21727003748799456
