Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.796855221704989, 0.8888888888888888, 0.8, 0.9424460431654677, 0.35294117647058826, 1.0
12, 0.7201176470588235, 0.85, 0.8571428571428571, 0.9428571428571428, 0.48, 0.47058823529411764
19, 0.8210262780697561, 0.7692307692307693, 0.9130434782608695, 0.9428571428571428, 0.48, 1.0
26, 0.7671801242236025, 0.5, 0.9130434782608695, 0.9428571428571428, 0.48, 1.0
34, 0.6152380952380953, 0.0, 0.8, 0.9428571428571428, 0.3333333333333333, 1.0
Average, 0.7440834732590533, 0.6016239316239316, 0.8566459627329193, 0.9427749229188078, 0.42525490196078436, 0.8941176470588236
