Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.4445159656985262, 0.7967479674796749, 0.0, 0.7279151943462897, 0.0, 0.6979166666666666
12, 0.5053007459306672, 0.7387387387387387, 0.13333333333333333, 0.8031496062992126, 0.05128205128205127, 0.8
19, 0.5569613186524236, 0.7446808510638299, 0.35294117647058826, 0.7890624999999999, 0.1, 0.7981220657276996
26, 0.5971053289314159, 0.7466666666666667, 0.4, 0.7799227799227799, 0.26666666666666666, 0.7922705314009663
34, 0.6218247740802111, 0.7407407407407406, 0.47058823529411764, 0.7890624999999999, 0.32, 0.7887323943661972
Average, 0.5451416266586488, 0.7535149929379301, 0.27137254901960783, 0.7778225161136565, 0.14758974358974358, 0.7754083316323059
