Window Size, Global accuracy, Activity Fill medication dispenser, Activity Wash DVD, Activity Water plants, Activity Answer the phone, Activity Prepare birthday card, Activity Prepare soup, Activity Clean, Activity Choose outfit
5, 0.5826466344930266, 0.7446808510638298, 0.796875, 0.48484848484848486, 0.4, 0.5, 0.7, 0.4909090909090909, 0.543859649122807
12, 0.533697431840048, 0.5964912280701754, 0.6349206349206349, 0.48598130841121495, 0.0, 0.35714285714285715, 0.7857142857142857, 0.6037735849056604, 0.8055555555555556
19, 0.5308593560241185, 0.6140350877192983, 0.5074626865671642, 0.4807692307692308, 0.0, 0.35555555555555557, 0.8529411764705882, 0.5694444444444444, 0.8666666666666667
26, 0.4716163187717939, 0.5692307692307692, 0.43103448275862066, 0.48314606741573035, 0.0, 0.23076923076923078, 0.78125, 0.4375, 0.84
34, 0.43636468199944, 0.42857142857142855, 0.23809523809523808, 0.4430379746835443, 0.75, 0.12280701754385964, 0.5217391304347826, 0.38666666666666666, 0.6
Average, 0.5110368846256854, 0.5906018729311001, 0.5216776084683316, 0.47555661322564113, 0.22999999999999998, 0.31325493220230066, 0.7283289185239313, 0.49765875738517246, 0.7312163742690059
