Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
10, 0.980292035252362, 0.9812702439848351, 0.981216693670706, 0.9881591631751976, 0.9853364945312013, 0.9654775808998688
20, 0.9878391272564981, 0.9728804139145696, 0.9880854291627206, 0.9923223627256196, 0.994119769119769, 0.9917876613598111
30, 0.9897516402544749, 0.9739359676131467, 0.9974358974358974, 0.9928077833092424, 0.9918230564246802, 0.9927554964894074
40, 0.9886374739053064, 0.9679674630276608, 0.9876962168266517, 0.9953475892196908, 0.9921761004525287, 1.0
50, 0.9885180363661401, 0.9684839114659226, 0.9890072937387515, 0.99574505305871, 0.9910780614983515, 0.9982758620689655
Average, 0.9870076626069564, 0.972907600001227, 0.9886883061669455, 0.992876390297692, 0.990906696405306, 0.9896593201636105
