Window Size, Global accuracy, Activity Fill medication dispenser, Activity Wash DVD, Activity Water plants, Activity Answer the phone, Activity Prepare birthday card, Activity Prepare soup, Activity Clean, Activity Choose outfit
10, 0.9492474691696575, 0.930158190139378, 0.9465706089585793, 0.9559908528438497, 0.9384252186310909, 0.9569253024737552, 0.9459343668915929, 0.9628487481665127, 0.9571264652525009
20, 0.9667270635759284, 0.9572488935320564, 0.9631902515849255, 0.9788758937693457, 0.9559021209076454, 0.9750855892829573, 0.958585739440766, 0.9802347571681779, 0.9646932629215534
30, 0.9587268671808828, 0.9409386213217203, 0.9618203786814957, 0.9698159543038912, 0.9517300441038344, 0.9664950777748229, 0.9469763873556698, 0.978756522993822, 0.9532819509118072
40, 0.9634131148323484, 0.9458220298224089, 0.9644015667548091, 0.980653516131049, 0.9528529381148871, 0.961409279485899, 0.9562065242064172, 0.980592839426232, 0.9653662247170842
50, 0.9657899825424258, 0.9442934436094801, 0.9642391968218043, 0.9781566790449008, 0.9601377079449677, 0.9731339460554127, 0.955439433651091, 0.9834595725937497, 0.967459880617999
Average, 0.9607808994602486, 0.9436922356850086, 0.9600444005603228, 0.9726985792186073, 0.951809605940485, 0.9666098390145693, 0.9526284903091075, 0.977178488069699, 0.9615855568841889
