Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
10, 0.8306024742892955, 0.8219723517279311, 0.7673030799388395, 0.9597761258242331, 0.743831744105145, 0.8601290698503291
20, 0.8896898212169289, 0.7416111208871514, 0.9068806132159638, 0.978604662843594, 0.8823895017912984, 0.9389632073466366
30, 0.8824302017916892, 0.646445735045939, 0.8881818446347808, 0.9870692693332626, 0.926635552416027, 0.963818607528437
40, 0.8535073866847842, 0.5224622986979967, 0.8390639604939716, 0.9880532087355365, 0.941491165056408, 0.9764663004400086
50, 0.811597634219018, 0.4360682454800101, 0.6852480158730158, 0.9899863208357453, 0.9603366804661675, 0.9863489084401518
Average, 0.8535655036403431, 0.6337119503678057, 0.8173355028313143, 0.9806979175144743, 0.8909369287670093, 0.9451452187211127
