Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
10, 0.9423253464723486, 0.9760050000788365, 0.9258293626022832, 0.9349125533087109, 0.9357801180270544, 0.9390996983448581
20, 0.9721498678754102, 0.9778097384795188, 0.9644825249938032, 0.9497518134198104, 0.9866604853283107, 0.9820447771556078
30, 0.9639107790018574, 0.9438844046879762, 0.9571586948812001, 0.9408094962704464, 0.9848788828130933, 0.992822416356572
40, 0.9678951863447767, 0.9657777777777777, 0.9551150606246546, 0.9399507343928628, 0.9870240897094881, 0.9916082692191
50, 0.9719711099279357, 0.9816666666666667, 0.9534217720685112, 0.9480418941706631, 0.9867934638602737, 0.9899317528735632
Average, 0.9636504579244658, 0.9690287175381552, 0.9512014830340905, 0.9426932983124987, 0.9762274079476441, 0.9791013827899402
