Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
10, 0.872005793777204, 0.9885852863773712, 0.9867192572317931, 0.8420857851545502, 0.9876303269455107, 0.9931322110993674, 0.38942287114113616, 0.9457281775414976, 0.9421054984512992, 0.8465179949836654, 0.7437491448850986, 0.9263871777379542
20, 0.9226258225506487, 0.9945987988263113, 0.9932488828990585, 0.9039796412384418, 0.9925722756243278, 0.9982893574022098, 0.6443893873274642, 0.940389697214741, 0.9502218860374111, 0.9027815820963104, 0.859345229777588, 0.9690673096132718
30, 0.9389378740005497, 0.9958760494779042, 0.9958450702785695, 0.9315010149315188, 0.9935462526530335, 0.9989949188131917, 0.7765113744091519, 0.9017649697691967, 0.9384532659775792, 0.9052738767614816, 0.9162698632257898, 0.9742799577086316
40, 0.9473105863985349, 0.996266521794143, 0.9971471716681857, 0.9418298154018284, 0.9928968905893945, 0.9990913273657906, 0.8314537567985397, 0.9093318662596669, 0.9340051424478389, 0.8889036093153315, 0.9453084917691369, 0.9841818569740282
50, 0.9516651313960303, 0.9963172643522122, 0.9976943609506941, 0.9485409689969959, 0.9921622017618794, 0.9991368001910764, 0.8771505217689105, 0.8972078140745372, 0.9293669659238107, 0.8820616582380131, 0.9643671805884123, 0.9843107085097916
Average, 0.9265090416245936, 0.9943287841655882, 0.9941309486056602, 0.9135874451446672, 0.9917615895148293, 0.997728922974327, 0.7037855822890405, 0.9188845049719279, 0.9388305517675878, 0.8851077442789604, 0.8858079820492051, 0.9676454021087355
