Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
10, 0.9530845337578129, 0.9923768823768825, 0.8986181913667657, 0.9860327670161289, 0.9240366907109712, 0.9643581373183162
20, 0.979225832144429, 0.9984848484848484, 0.9523287605148816, 0.9936742049764353, 0.9583036156651618, 0.9933377310808187
30, 0.9843985377645053, 0.9922847659689765, 0.961699941350933, 0.9960681283060625, 0.9750660918038117, 0.9968737613927431
40, 0.9875900515046799, 0.9941176470588236, 0.9754381024143631, 0.9953768569940247, 0.9760917193630503, 0.9969259316931381
50, 0.9859918827392361, 0.9837662337662337, 0.9692134336251984, 0.9972714617671278, 0.9815133105982301, 0.9981949739393908
Average, 0.9780581675821327, 0.9922060755311529, 0.9514596858544284, 0.9936846838119558, 0.963002285628245, 0.9899381070848815
