Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
10, 0.9556153165295044, 0.9526429166656964, 0.988861617261448, 0.9499693816442903, 0.98285575830587, 0.9880461341136451, 0.919634923974959, 0.9214734404365968, 0.9040850132564691, 0.9395488410790843, 0.9662897993487842, 0.9983606557377049
20, 0.97796224857415, 0.9726981593842327, 0.9941746014271626, 0.9778502432849017, 0.994082557813136, 0.9933519207912219, 0.9845236921853561, 0.9586340822184132, 0.9350334524951786, 0.9529491447126773, 0.9942868800033702, 1.0
30, 0.9809871349136554, 0.9825457312381614, 0.9956198682554408, 0.9827088409574781, 0.9967398036619425, 0.9947222611567682, 0.9955112457290175, 0.9708477108091513, 0.9328875784680815, 0.9425588828900702, 0.9967165608840972, 1.0
40, 0.9819838120710678, 0.9869119546322166, 0.9961159950461113, 0.9838668905761928, 0.9974978995153136, 0.9960892871238463, 0.9973678261901565, 0.9724106417138673, 0.9263527023582153, 0.9462694381489912, 0.9989392974768336, 1.0
50, 0.9805112655158595, 0.9899067348291191, 0.9962719033090315, 0.9873968736176923, 0.9977186130728045, 0.996119512321302, 0.9988104794752054, 0.9695094874342496, 0.9133982925996866, 0.9374510280096514, 0.9990409960057134, 1.0
Average, 0.9754119555208474, 0.9769410993498852, 0.9942087970598388, 0.9763584460161109, 0.9937789264738134, 0.9936658231013566, 0.9791696335109389, 0.9585750725224557, 0.9223514078355262, 0.943755466968095, 0.9910547067437598, 0.9996721311475409
