Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
10, 0.9620302827271695, 0.970373324167538, 0.9921485048962498, 0.965262888011474, 0.988042492814859, 0.9872589604192576, 0.9418742988792734, 0.8780586005553668, 0.9182861509203686, 0.956781854113596, 0.985784496759343, 0.9984615384615385
20, 0.9874944731275814, 0.990329530002778, 0.9975170463817793, 0.9911289350088337, 0.9969352840470593, 0.9927996998778458, 0.9896989198930957, 0.9704288053033496, 0.9589558200426115, 0.975886379288314, 0.9987587845577292, 1.0
30, 0.9914913765129187, 0.9958905653244063, 0.9985227578123338, 0.9943187253928116, 0.9977964031508353, 0.9948478800109382, 0.9974047624759397, 0.9772436027068137, 0.9676716306903904, 0.9850835101742719, 0.9993494418344007, 0.9982758620689655
40, 0.9905571256590212, 0.9973787644668726, 0.9986320420695615, 0.9952241273694673, 0.9977891826688771, 0.9961984792825888, 0.999012460003992, 0.9809409490237752, 0.9670336308752544, 0.9664821026983688, 0.9993597207135544, 0.998076923076923
50, 0.9918440067698722, 0.9982514801306506, 0.998815811804443, 0.9954413883893396, 0.9981879613206621, 0.9964645310240495, 0.9994110172071808, 0.9780387132077445, 0.9739347269550706, 0.975752306230779, 0.9994508932763326, 0.9965352449223417
Average, 0.9846834529593128, 0.990444732818449, 0.9971272325928734, 0.9882752128343852, 0.9957502648004585, 0.993513910122936, 0.9854802916918963, 0.9569421341594099, 0.957176391896739, 0.971997230501066, 0.996540667428272, 0.9982699137059537
