Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
10, 0.9660823254508311, 0.9696612455349305, 0.9844842342353441, 0.8837607996657335, 0.9741011825187897, 0.9738883237965432, 0.4622581991871292, 0.9533346706257007, 0.8800715616387252, 0.8652150577500486, 0.8314915050977069, 0.9580757335026204
20, 0.9805956831077838, 0.9833694339856278, 0.9911709063709798, 0.9262070371243674, 0.9842873297726793, 0.9788707662258613, 0.7279191568839953, 0.9536976178682439, 0.8922108932789252, 0.8821298852886127, 0.9138886641597679, 0.9730454907267643
30, 0.9859060270224236, 0.9890499656227094, 0.9932013786809663, 0.939632582740414, 0.9859045722587346, 0.9806437824346885, 0.8356999639213066, 0.9565614952817467, 0.8803416296426192, 0.8708997755225119, 0.943502666696661, 0.9744715724810986
40, 0.9882409705616816, 0.9915598750810263, 0.9941133623642149, 0.9477081499163142, 0.9871341908320804, 0.9813178705737234, 0.8738923636359355, 0.9601134913561801, 0.8811248736002726, 0.8719502902975094, 0.9580621731096972, 0.9748531692351804
50, 0.9894725982938045, 0.9928021596515751, 0.9946010299010503, 0.9511343845132982, 0.9883213769730069, 0.9817875397169885, 0.8938454953333365, 0.9577051787622606, 0.8883278525234388, 0.8803737815900796, 0.9650304507967231, 0.9818207814985056
Average, 0.982059520887305, 0.9852885359751739, 0.9915141823105109, 0.9296885907920254, 0.9839497304710582, 0.9793016565495611, 0.7587230357923406, 0.9562824907788263, 0.8844153621367962, 0.8741137580897524, 0.9223950919721112, 0.9724533494888339
