Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.7151684088269454, 0.9333333333333333, 0.6285714285714286, 0.9670329670329669, 0.4615384615384615, 0.5853658536585366
12, 0.7502949681897049, 1.0, 0.6285714285714286, 0.9670329670329669, 0.5769230769230769, 0.5789473684210527
19, 0.7547114147114147, 0.9523809523809523, 0.6285714285714286, 0.9670329670329669, 0.5769230769230769, 0.6486486486486486
26, 0.7638950316968893, 0.8571428571428571, 0.6666666666666666, 0.9705882352941176, 0.5882352941176471, 0.7368421052631577
33, 0.619673202614379, 0.0, 0.7499999999999999, 0.9705882352941176, 0.6, 0.7777777777777778
Average, 0.7207486052078667, 0.7485714285714286, 0.6604761904761904, 0.9684550743374272, 0.5607239819004525, 0.6655163507538348
