Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.14025179421485207, 0.6608361891706648, 0.36142124682543486, 0.0, 0.0, 0.44293287986395924, 0.0, 0.036069986541049794, 0.04150943396226415, 0.0, 0.0, 0.0
12, 0.18218985915803876, 0.7309006456633552, 0.6487310643320874, 0.0, 0.0, 0.5575031300304061, 0.0, 0.0669536107125777, 0.0, 0.0, 0.0, 0.0
19, 0.1955619997507341, 0.7526551198489421, 0.7081351361474213, 0.0, 0.0, 0.6201706749418154, 0.07022106631989597, 0.0, 0.0, 0.0, 0.0, 0.0
26, 0.25294179499163877, 0.7745243574368781, 0.7492292531214119, 0.4721502590673574, 0.0, 0.6526268789998512, 0.1338289962825279, 0.0, 0.0, 0.0, 0.0, 0.0
33, 0.27325545312658095, 0.786730234406039, 0.7699011021061096, 0.603884638022366, 0.0, 0.6715371127995324, 0.15596330275229356, 0.0, 0.01779359430604982, 0.0, 0.0, 0.0
Average, 0.20884018024836895, 0.7411293093051758, 0.647483560506493, 0.21520697941794467, 0.0, 0.5889541353271129, 0.07200267307094348, 0.0206047194507255, 0.011860605653662794, 0.0, 0.0, 0.0
