Window Size, Global accuracy, Activity Fill medication dispenser, Activity Wash DVD, Activity Water plants, Activity Answer the phone, Activity Prepare birthday card, Activity Prepare soup, Activity Clean, Activity Choose outfit
5, 0.6363256670177555, 0.8974358974358975, 0.5222222222222223, 0.8709677419354839, 0.017241379310344827, 0.7857142857142857, 0.44642857142857145, 0.9047619047619048, 0.6458333333333334
12, 0.6164696782352312, 0.8205128205128205, 0.4222222222222222, 0.8548387096774194, 0.0, 0.6785714285714286, 0.8163265306122449, 0.7142857142857143, 0.625
19, 0.5548938516680452, 0.8205128205128205, 0.34444444444444444, 0.7741935483870968, 0.0, 0.5714285714285714, 0.6904761904761905, 0.7380952380952381, 0.5
26, 0.5115394462168655, 0.8974358974358975, 0.2222222222222222, 0.6774193548387096, 0.0, 0.39285714285714285, 0.7714285714285715, 0.7142857142857143, 0.4166666666666667
33, 0.44731261797620253, 1.0, 0.1, 0.5967741935483871, 0.25862068965517243, 0.25, 0.3939393939393939, 0.6666666666666666, 0.3125
Average, 0.55330825222282, 0.8871794871794872, 0.32222222222222224, 0.7548387096774193, 0.05517241379310345, 0.5357142857142857, 0.6237198515769944, 0.7476190476190476, 0.5
