Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.5677043714859259, 0.6153119092627599, 0.9387907233572612, 0.4982442450253609, 0.8812415654520918, 0.8984084880636605, 0.030303030303030304, 0.058823529411764705, 0.9902912621359223, 0.3333333333333333, 0.0, 1.0
12, 0.4426589046651195, 0.5567033439594649, 0.8915274214795812, 0.678082191780822, 0.8969072164948454, 0.8514688601645123, 0.08064516129032258, 0.05027739251040222, 0.8636363636363636, 0.0, 0.0, 0.0
19, 0.42006034620279353, 0.5228230398984467, 0.84004158004158, 0.3684210526315789, 1.0, 0.6633894350941509, 0.22598870056497175, 0.0, 1.0, 0.0, 0.0, 0.0
26, 0.20180636440613842, 0.5099040033390143, 0.7915395836096009, 0.0, 0.0, 0.6741516123586021, 0.24427480916030533, 0.0, 0.0, 0.0, 0.0, 0.0
33, 0.19349665086639425, 0.5035331701303888, 0.7559634654606722, 0.0, 0.0, 0.6903950953678474, 0.17857142857142858, 0.0, 0.0, 0.0, 0.0, 0.0
Average, 0.36514532752527434, 0.5416550933180149, 0.8435725547897391, 0.3089494978875523, 0.5556297563893875, 0.7555626982097546, 0.1519566259780117, 0.021820184384433384, 0.5707855251544572, 0.06666666666666667, 0.0, 0.2
