Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.5019066609694726, 0.9607843137254902, 0.0, 0.9809523809523809, 0.0, 0.5677966101694916
12, 0.5483418870751608, 0.9318181818181818, 0.08333333333333333, 0.9714285714285714, 0.02631578947368421, 0.7288135593220338
19, 0.5861642539697848, 0.9459459459459459, 0.25, 0.9619047619047619, 0.05263157894736842, 0.7203389830508474
26, 0.6162762839301644, 0.9333333333333333, 0.3333333333333333, 0.9619047619047619, 0.15789473684210525, 0.6949152542372882
33, 0.6227446287051454, 0.9130434782608695, 0.3333333333333333, 0.9619047619047619, 0.21052631578947367, 0.6949152542372882
Average, 0.5750867429299455, 0.9369850506167641, 0.2, 0.9676190476190476, 0.0894736842105263, 0.6813559322033897
