window_size,Total accuracy,Accuracy Activity Make a phone call,Accuracy Activity Wash hands,Accuracy Activity Cook,Accuracy Activity Eat,Accuracy Activity Clean
5,0.9215403624382208,0.815668202764977,0.9786751361161524,0.8066666666666666,0.8137432188065099,0.0
12,0.8937116239678171,0.783410138248848,0.9736842105263158,0.652,0.8426763110307414,0.0
19,0.8875816993464052,0.7857142857142857,0.9696007259528131,0.64,0.8444846292947559,0.0
avg,0.9009445619174811,0.7949308755760369,0.9739866908650937,0.6995555555555556,0.8336347197106692,0.0
