window_size,Total accuracy,Accuracy Activity Meal_Preparation,Accuracy Activity Relax,Accuracy Activity Eating,Accuracy Activity Work,Accuracy Activity Sleeping,Accuracy Activity Wash_Dishes,Accuracy Activity Bed_to_Toilet,Accuracy Activity Enter_Home,Accuracy Activity Leave_Home,Accuracy Activity Housekeeping,Accuracy Activity Respirate
5,0.705715275269823,0.7387217689860459,0.6969675990030463,0.8570931607875878,0.47018863980770237,0.06496694995278565,0.8683191324554609,0.29846153846153844,0.06018808777429467,0.07688791369537393,0.007352941176470588,0.0
12,0.7665125861984752,0.850360663999748,0.7328302409304902,0.891602309886593,0.6356699881541356,0.21690273843248348,0.8892331525948877,0.5556923076923077,0.16300940438871472,0.08740171877857013,0.3235294117647059,0.0
19,0.7788500534328774,0.8809367814281664,0.7457075602326225,0.9569331385236207,0.6462532884993989,0.2963172804532578,0.7529047250193648,0.6221538461538462,0.12037617554858934,0.09791552386176632,0.4852941176470588,0.0
avg,0.7503593049670586,0.8233397381379867,0.725168466722053,0.9018762030659339,0.584037305487079,0.19272898961284232,0.8368190033565712,0.4921025641025641,0.11452455590386623,0.08740171877857013,0.27205882352941174,0.0
