window_size,Total accuracy,Accuracy Activity Meal_Preparation,Accuracy Activity Relax,Accuracy Activity Eating,Accuracy Activity Work,Accuracy Activity Sleeping,Accuracy Activity Wash_Dishes,Accuracy Activity Bed_to_Toilet,Accuracy Activity Enter_Home,Accuracy Activity Leave_Home,Accuracy Activity Housekeeping,Accuracy Activity Respirate
5,0.8697152871106585,0.8412731911676694,0.9379673220714484,0.9871286439852501,0.8419640835379979,0.9841359773371104,0.9349341595662277,0.5446153846153846,0.7899686520376176,0.8755714024501737,0.9828431372549019,0.0
12,0.9061515257814662,0.9601316659841875,0.9273054555524786,0.9856675711403325,0.7967389032123197,0.9711992445703493,0.95429899302866,0.8898461538461538,0.7924764890282132,0.824190894130554,0.9656862745098039,0.0
19,0.8953929314667843,0.9454846127193121,0.9243976737745777,0.9805886036318097,0.8043800198616653,0.9572237960339943,0.9682416731216111,0.8892307692307693,0.8382445141065831,0.649296032181386,0.9509803921568627,0.0
avg,0.8904199147863029,0.9156298232903897,0.9298901504661683,0.9844616062524641,0.8143610022039942,0.9708530059804846,0.9524916085721663,0.7745641025641025,0.806896551724138,0.7830194429207046,0.9665032679738562,0.0
