window_size,Total accuracy,Accuracy Activity Make a phone call,Accuracy Activity Wash hands,Accuracy Activity Cook,Accuracy Activity Eat,Accuracy Activity Clean
5,0.894499392677425,0.8528784648187633,0.9506531204644412,0.8175355450236966,0.8233713901947616,0.0
12,0.871456587627028,0.8827292110874201,0.9308176100628931,0.7428909952606635,0.8059100067159167,0.0
19,0.8667277726856095,0.8912579957356077,0.9240445089501693,0.7156398104265402,0.8200134318334452,0.0
avg,0.8775612509966875,0.8756218905472637,0.9351717464925012,0.7586887835703001,0.8164316095813745,0.0
