window_size,Total accuracy,Accuracy Activity Fill medication dispenser,Accuracy Activity Wash DVD,Accuracy Activity Water plants,Accuracy Activity Answer the phone,Accuracy Activity Prepare birthday card,Accuracy Activity Prepare soup,Accuracy Activity Clean,Accuracy Activity Choose outfit
5,0.7166225268733447,0.8137931034482758,0.8525852585258525,0.4956521739130435,0.8956743002544529,0.5537525354969574,0.5704270235818993,0.838012958963283,0.0
12,0.7303174603174604,0.7482185273159145,0.8791574279379157,0.5565217391304348,0.8816793893129771,0.5598739495798319,0.6354365838113448,0.8396436525612472,0.0
19,0.7337000485358356,0.7604422604422605,0.8748603351955307,0.5710144927536231,0.8745198463508322,0.5326688815060908,0.6602931803696622,0.8340909090909091,0.0
avg,0.7268800119088802,0.7741512970688169,0.868867673886433,0.5410628019323672,0.8839578453060875,0.5487651221942934,0.6220522625876354,0.8372491735384798,0.0
