window_size,Total accuracy,Accuracy Activity Fill medication dispenser,Accuracy Activity Wash DVD,Accuracy Activity Water plants,Accuracy Activity Answer the phone,Accuracy Activity Prepare birthday card,Accuracy Activity Prepare soup,Accuracy Activity Clean,Accuracy Activity Choose outfit
5,0.40458015267175573,0.42758620689655175,0.37843784378437845,0.005797101449275362,0.7468193384223919,0.5202839756592292,0.165710643722116,0.8272138228941684,0.0
12,0.5377777777777778,0.6769596199524941,0.6895787139689579,0.15072463768115943,0.8384223918575063,0.523109243697479,0.24410452517527087,0.7817371937639198,0.0
19,0.5876071833036726,0.714987714987715,0.8178770949720671,0.18840579710144928,0.8284250960307298,0.4429678848283499,0.3690248565965583,0.7795454545454545,0.0
avg,0.5099883712510688,0.6065111806122535,0.6286312175751344,0.11497584541062804,0.8045556087702094,0.4954537013950195,0.25961334183131507,0.7961654904011809,0.0
