window_size,Total accuracy,Accuracy Activity Make a phone call,Accuracy Activity Wash hands,Accuracy Activity Cook,Accuracy Activity Eat,Accuracy Activity Clean
5,0.5965642894325872,0.17484008528784648,0.7803580067731011,0.07109004739336493,0.5480188045668234,0.0
12,0.6231057229452666,0.302771855010661,0.7968069666182874,0.15758293838862558,0.5742108797850907,0.0
19,0.6403299725022915,0.47334754797441364,0.8287373004354136,0.245260663507109,0.5218267293485561,0.0
avg,0.6199999949600484,0.3169864960909737,0.8019674246089341,0.1579778830963665,0.5480188045668234,0.0
