window_size,Total accuracy,Accuracy Activity Fill medication dispenser,Accuracy Activity Wash DVD,Accuracy Activity Water plants,Accuracy Activity Answer the phone,Accuracy Activity Prepare birthday card,Accuracy Activity Prepare soup,Accuracy Activity Clean,Accuracy Activity Choose outfit
5,0.7184919769434491,0.8160919540229885,0.8305830583058306,0.4811594202898551,0.910941475826972,0.5963488843813387,0.5787125557680051,0.796976241900648,0.0
12,0.6961904761904761,0.6591448931116389,0.843680709534368,0.39710144927536234,0.8918575063613231,0.49264705882352944,0.6545570427023581,0.7906458797327395,0.0
19,0.6638084452353988,0.5749385749385749,0.8111731843575419,0.42318840579710143,0.8655569782330346,0.32447397563676633,0.687061822817081,0.775,0.0
avg,0.6928302994564414,0.6833918073577342,0.8284789840659136,0.43381642512077295,0.88945198680711,0.47115663961387816,0.6401104737624813,0.7875407072111291,0.0
