window_size,Total accuracy,Accuracy Activity Make a phone call,Accuracy Activity Wash hands,Accuracy Activity Cook,Accuracy Activity Eat,Accuracy Activity Clean
5,0.5299323269130661,0.9211087420042644,0.6555394291243348,0.2985781990521327,0.11014103425117529,0.0
12,0.5516134783383847,0.9488272921108742,0.683115626511853,0.4443127962085308,0.12558764271323036,0.0
19,0.5582034830430798,0.8933901918976546,0.6860183841315917,0.4834123222748815,0.14573539288112827,0.0
avg,0.5465830960981769,0.9211087420042645,0.6748911465892599,0.40876777251184837,0.1271546899485113,0.0
