Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.5995830495312238, 0.8250766287892098, 0.3642372691054233, 0.841447831060931, 0.32841320439464555, 0.6387403143059099
12, 0.6786718145100954, 0.8104219542554935, 0.5221018413007321, 0.8881668549204942, 0.4701297792919796, 0.7025386427817785
19, 0.7246594422945138, 0.8087339413954998, 0.5873439393487836, 0.9083539214406577, 0.5929881879863254, 0.7258772213013025
26, 0.7644955117282246, 0.8111815292326086, 0.6281822873892119, 0.9147564683677276, 0.6760948885157175, 0.7922623851358577
33, 0.8022972191580487, 0.7829500584998227, 0.6690625276511197, 0.9254522939287539, 0.7673192562812947, 0.8667019594292533
Average, 0.7139414074444212, 0.8076728224345269, 0.5541855729590541, 0.8956354739437129, 0.5669890632939925, 0.7452241045908204
