Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.3739279025528883, 0.6213404621469021, 0.024317673235178267, 0.7554185992096437, 0.34307685372751046, 0.1254859244452067
12, 0.43460819157039354, 0.6793805789460302, 0.12344620589261228, 0.8069386883653129, 0.3639686417648467, 0.1993068428831652
19, 0.4960605571104607, 0.7017493560774524, 0.27936543181132245, 0.8274322743751498, 0.37364552755504743, 0.2981101957333321
26, 0.5211888169712001, 0.6733882769907052, 0.37228997304217737, 0.8476922974636306, 0.3712711417007908, 0.34130239565869686
33, 0.5427376880448298, 0.6608385435353565, 0.40646743060000146, 0.8585722645380665, 0.391850653943285, 0.39595954760743923
Average, 0.4737046312499545, 0.6673394435392893, 0.2411773429162584, 0.8192108247903607, 0.36876256373829613, 0.272032981265568
