Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.1260963624865436, 0.6022401365424008, 0.3672762210089191, 0.0, 0.0, 0.3388669958391689, 0.0, 0.04967111780979128, 0.029005516151699474, 0.0, 0.0, 0.0
12, 0.1735570514113916, 0.6844329024816915, 0.6829768872188946, 0.0, 0.0, 0.45668097551660153, 0.0, 0.08503680030811986, 0.0, 0.0, 0.0, 0.0
19, 0.18946030036048017, 0.7116542345100896, 0.7488877098525196, 0.0, 0.0, 0.6081783687908352, 0.0038028025789967413, 0.0, 0.011540188232840512, 0.0, 0.0, 0.0
26, 0.244133628082534, 0.7441031809263836, 0.799797878538379, 0.44473936502030514, 0.0001129305477131564, 0.6667697770574534, 0.01440298350302217, 0.0, 0.015543793314617272, 0.0, 0.0, 0.0
33, 0.2675429043375023, 0.7682379712532432, 0.8326289638299968, 0.5708362863623746, 0.00100357474588206, 0.7150903784962256, 0.019118722612451546, 0.0, 0.029480623990916145, 0.0, 0.006575426421435218, 0.0
Average, 0.20015804933569034, 0.7021336851427618, 0.6863135320897419, 0.20311513027653594, 0.00022330105871904327, 0.5571172991400569, 0.007464901738894092, 0.026941583623582226, 0.01711402433801468, 0.0, 0.0013150852842870437, 0.0
