Window Size, Global accuracy, Activity Fill medication dispenser, Activity Wash DVD, Activity Water plants, Activity Answer the phone, Activity Prepare birthday card, Activity Prepare soup, Activity Clean, Activity Choose outfit
5, 0.25636002233395977, 0.25728743439885765, 0.11769496188377723, 0.7053618150453691, 0.002040816326530612, 0.35075771042663395, 0.12540099611959676, 0.4735924471925966, 0.018743997278316122
12, 0.41765058854061377, 0.314402894720021, 0.4417339435329704, 0.4242768920001637, 0.0, 0.6328874557164031, 0.3441609639661565, 0.4714712618427453, 0.712271296546451
19, 0.45961264152110176, 0.34315963169243674, 0.4733445262012779, 0.5870233220022929, 0.00816017316017316, 0.6882950514798943, 0.46403563402569664, 0.3670802448011111, 0.7458025488059318
26, 0.4777302649156724, 0.4618664565515136, 0.48149828098753594, 0.6771763717354655, 0.03579324016077684, 0.7030556527046316, 0.39969398335264833, 0.34476682430811556, 0.7179913095246917
33, 0.4679330748696656, 0.5806732786282833, 0.4727321426735653, 0.7585129980083022, 0.07736693134761513, 0.7198087607604154, 0.2245633424968224, 0.322064308571224, 0.5877428364710974
Average, 0.41585731843620266, 0.3914779391982225, 0.39740077105582533, 0.6304702797583187, 0.024672232199019147, 0.6189609262175957, 0.3115709839921841, 0.39579501734315853, 0.5565103977252976
