Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.6822124999535316, 0.7553069555342169, 0.5107256005038083, 0.8782029896189026, 0.6541401054112465, 0.6126868486994839
12, 0.7539151535081, 0.7113779939512808, 0.7146789385234431, 0.9099101355688075, 0.6810113011779453, 0.7525973983190231
19, 0.7826681032057992, 0.6906751435388259, 0.7621596846688045, 0.8976713884513987, 0.7242189134395017, 0.8386153859304649
26, 0.768024477015811, 0.6494953682210863, 0.7789723335989026, 0.8948770596552362, 0.6628828636370664, 0.8538947599667625
33, 0.751044566181671, 0.6131575452751352, 0.7723204001031454, 0.900641210172814, 0.6426894201978188, 0.8264142551594414
Average, 0.7475729599729826, 0.684002601304109, 0.7077713914796208, 0.8962605566934319, 0.6729885207727158, 0.7768417296150351
