Window Size, Global accuracy, Activity Fill medication dispenser, Activity Wash DVD, Activity Water plants, Activity Answer the phone, Activity Prepare birthday card, Activity Prepare soup, Activity Clean, Activity Choose outfit
5, 0.24551805891922562, 0.36233386830777026, 0.18053362153376426, 0.330606243841964, 0.003999999999999999, 0.47328091422285035, 0.19859064946442387, 0.3843386476672429, 0.030460526315789473
12, 0.400921015184038, 0.41001521679894165, 0.49796538953801023, 0.4083237197165466, 0.005263157894736842, 0.6840617884537266, 0.4153154004598531, 0.4704751286079244, 0.3159483200025644
19, 0.43014815810308693, 0.43278987547030745, 0.522982629864674, 0.4965678670532661, 0.014248942820371391, 0.6865050698278824, 0.48808226506238866, 0.45575768743245043, 0.34425092729335527
26, 0.44253139437290046, 0.4830216878840979, 0.5296948082721864, 0.5120231009805749, 0.05724663653522425, 0.6758567365682778, 0.44590637936162486, 0.45648215105380824, 0.38001965432740875
33, 0.42615380613887394, 0.48455446328435475, 0.5199240486081786, 0.5074634932706441, 0.12425998751991219, 0.6453566154923469, 0.3078811995304077, 0.436369888964706, 0.38342075244044155
Average, 0.38905448654362496, 0.43454302234909437, 0.45022009956336273, 0.45099688497259915, 0.04100374495404893, 0.6330122249130168, 0.3711551787757396, 0.44068470074522637, 0.2908200360759119
