Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.42861521526796303, 0.792122338222961, 0.08828060266989372, 0.8882847661695197, 0.2935384767933825, 0.08084989248405818
12, 0.5713667499919561, 0.9592547246570045, 0.33986484261416877, 0.9512842096372568, 0.3058895674823435, 0.30054040556900724
19, 0.6415321775207596, 1.0, 0.5305529474889935, 0.969366505571941, 0.05801038605646559, 0.6497310484863983
26, 0.6860108898033809, 0.9955357142857142, 0.6350108325223959, 0.96048595755617, 0.07411176740663199, 0.7649101772459925
33, 0.7166795799223563, 0.9950549450549451, 0.7118512961982154, 0.9329059517328853, 0.16807041518410348, 0.7755152914416318
Average, 0.6088409225012832, 0.9483935444441249, 0.46111210429873345, 0.9404654781335546, 0.1799241225845854, 0.5143093630454176
