Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.6131014096266847, 0.7967361509127168, 0.9620044091412542, 0.5302934944618405, 0.8387073348410358, 0.9549060647337118, 0.31880803788126444, 0.17265179337900685, 0.7298257133451124, 0.5422032943612227, 0.34711361352596254, 0.5508655993104031
12, 0.570038734908674, 0.8859562349931114, 0.9500939746115659, 0.5443284560325852, 0.7985757928891631, 0.953963763732447, 0.23574064493282676, 0.13586629922725144, 0.3950884992885912, 0.40531906139457624, 0.5070396638828342, 0.4584536930104626
19, 0.5492337784153215, 0.8901012355134241, 0.9445371195917414, 0.5471316332786889, 0.7680805229804722, 0.9382799963289781, 0.16738261147675806, 0.15178420041559942, 0.26137362572027095, 0.33699552768957375, 0.5876466957429576, 0.4482583938300733
26, 0.5215471154458636, 0.886153686076066, 0.9379794382848458, 0.5383569623027832, 0.7432641833866589, 0.9222424148599071, 0.14496808341937875, 0.1264654594872435, 0.20140735828424966, 0.21834531184755498, 0.5813341142343008, 0.4365012577215107
33, 0.5007967272006362, 0.8800662855374993, 0.9314234677559338, 0.5224493573179849, 0.7197440137295475, 0.907921803799848, 0.13067095999478912, 0.10733173235082498, 0.17490144516156628, 0.14631975527292865, 0.5676639590567494, 0.42027121922932603
Average, 0.550943553119436, 0.8678027186065634, 0.9452076818770682, 0.5365119806787766, 0.7736743695653756, 0.9354628086909784, 0.19951406754100343, 0.1388198969719852, 0.3525193283599581, 0.3298365901131713, 0.518159609288561, 0.46287003262035514
