Window Size, Global accuracy, Activity Fill medication dispenser, Activity Wash DVD, Activity Water plants, Activity Answer the phone, Activity Prepare birthday card, Activity Prepare soup, Activity Clean, Activity Choose outfit
5, 0.3749458955013845, 0.6217829754786276, 0.4006490755320856, 0.21650525098784548, 0.1, 0.7424529083999166, 0.5036038171855748, 0.32301469486858425, 0.09155844155844156
12, 0.4457124011313255, 0.5916830617195729, 0.5708400647300277, 0.3966873794421645, 0.05, 0.7488746677186744, 0.5262803723190685, 0.4777905717054759, 0.20354309141561977
19, 0.46397747372809056, 0.5950922711036606, 0.5889012363110534, 0.4309297505085302, 0.05928571428571429, 0.6866601700514631, 0.5190263120871318, 0.6069548735996246, 0.22496946187754735
26, 0.4716910043334904, 0.5169416859878478, 0.5933621739585437, 0.4120715275622461, 0.15006715506715507, 0.6544605072327107, 0.5104778998709608, 0.6769941490354336, 0.25915293595302524
33, 0.46392744670387226, 0.4185708363445576, 0.5854891644679862, 0.383147926581256, 0.25501665001665, 0.5869665562716062, 0.5161512360943192, 0.6799571055012678, 0.2861200983533345
Average, 0.4440508442796326, 0.5488141661268533, 0.5478483429999395, 0.3678683670164084, 0.12287390387390387, 0.6838829619348742, 0.515107927511411, 0.5529422789420771, 0.2130688058315937
