Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.2814056874696697, 0.43355931429691663, 0.9368381026246446, 0.0, 0.0, 0.814914840978803, 0.0, 0.02681697093266961, 0.8833333333333332, 0.0, 0.0, 0.0
12, 0.21313405858334616, 0.5243068401622291, 0.9630897729447734, 0.0, 0.0, 0.809421571171697, 0.0, 0.04765646013810833, 0.0, 0.0, 0.0, 0.0
19, 0.26220731466355585, 0.5573685312033508, 0.9631206619781871, 0.0, 0.0, 0.8118756837019919, 0.11524891774891774, 0.0, 0.4366666666666667, 0.0, 0.0, 0.0
26, 0.37944611517895804, 0.6002251141821967, 0.9606468143984481, 0.9882971293522086, 0.1, 0.8198265928740689, 0.2582449494949495, 0.0, 0.44666666666666666, 0.0, 0.0, 0.0
33, 0.4062065402658977, 0.6344419543034767, 0.9573268571147888, 0.9647111158727093, 0.0447113997113997, 0.8324871395691595, 0.26987752710770707, 0.0, 0.14971594924563372, 0.0, 0.615, 0.0
Average, 0.30847994323228545, 0.549980350829634, 0.9562044418121685, 0.39060164904498357, 0.028942279942279943, 0.8177051656591441, 0.12867427887031485, 0.01489468621415559, 0.3832765231824601, 0.0, 0.123, 0.0
