Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.3478224666491916, 0.972204783995543, 0.5576340326464356, 0.5125403923590082, 0.3674378877670345, 0.3819614438729032, 0.0, 0.7344178018017462, 0.25098615871209107, 0.001529702772917157, 0.0002742286690245864, 0.04706070054440389
12, 0.2378635845627727, 0.9791757866241714, 0.4463984942497177, 0.11630728890495409, 0.0378618773959543, 0.3845337215410657, 0.0025423581998673993, 0.5675434204426234, 0.08213648283214567, 0.0, 0.0, 0.0
19, 0.1638893678567058, 0.9787245212958606, 0.3536002168539295, 0.0035456727863434324, 0.0008425528905348886, 0.45278377777588946, 0.003874812144247456, 0.0, 0.009411492676958386, 0.0, 0.0, 0.0
26, 0.15775373480596674, 0.9728681940870143, 0.3114349762590598, 0.0, 0.0, 0.44702069743582024, 0.003967215083740069, 0.0, 0.0, 0.0, 0.0, 0.0
33, 0.15536827400480882, 0.9665478135414716, 0.2933412063847963, 0.0, 0.0, 0.44764068331096657, 0.0015213108156625008, 0.0, 0.0, 0.0, 0.0, 0.0
Average, 0.21253948557588914, 0.9739042199088122, 0.39248178527878785, 0.12647867081006114, 0.08122846361070474, 0.422788064787329, 0.002381139248703485, 0.2603922444488739, 0.06850682684423903, 0.00030594055458343136, 5.4845733804917276e-05, 0.009412140108880777
