window_size,Total accuracy,Accuracy Activity Meal_Preparation,Accuracy Activity Relax,Accuracy Activity Eating,Accuracy Activity Work,Accuracy Activity Sleeping,Accuracy Activity Wash_Dishes,Accuracy Activity Bed_to_Toilet,Accuracy Activity Enter_Home,Accuracy Activity Leave_Home,Accuracy Activity Housekeeping,Accuracy Activity Respirate
5,0.706766149419503,0.8526781895283991,0.7053831858128327,0.6663666574356134,0.6396020315870035,0.40835379979446446,0.022001888574126535,0.8295894655305964,0.16553846153846155,0.0,0.03839824465167307,0.0
12,0.7348691056080258,0.8080803966058749,0.7704507512520868,0.6931597895319856,0.7525916649272942,0.5226987666364713,0.07025495750708215,0.7924089852827265,0.12,0.0,0.06692265496434449,0.0
19,0.7777236706166539,0.8402374095151192,0.7956783318108798,0.6713514261977291,0.7473735476240173,0.7717128072895796,0.08130311614730878,0.0,0.11876923076923077,0.0,0.0718595721338453,0.0
avg,0.7397863085480608,0.8336653318831311,0.7571707562919331,0.6769592910551094,0.7131890813794383,0.5675884579068384,0.05785332074283916,0.5406661502711076,0.13476923076923075,0.0,0.05906015724995429,0.0
