window_size,Total accuracy,Accuracy Activity Fill medication dispenser,Accuracy Activity Wash DVD,Accuracy Activity Water plants,Accuracy Activity Answer the phone,Accuracy Activity Prepare birthday card,Accuracy Activity Prepare soup,Accuracy Activity Clean,Accuracy Activity Choose outfit
5,0.3821467518305032,0.19959266802443992,0.43333333333333335,0.3146314631463146,0.011594202898550725,0.7430025445292621,0.48580121703853957,0.16188655194391333,0.8012958963282938
12,0.4780952380952381,0.5340659340659341,0.6033254156769596,0.5210643015521065,0.08115942028985507,0.8244274809160306,0.4789915966386555,0.20076481835564053,0.7661469933184856
19,0.5038019737906487,0.7373271889400922,0.6805896805896806,0.6033519553072626,0.1246376811594203,0.8169014084507042,0.3333333333333333,0.25111536010197577,0.7363636363636363
avg,0.4546813212387966,0.4903285970101554,0.5724161431999911,0.4796825733352279,0.07246376811594203,0.794777144631999,0.4327087156701761,0.2045889101338432,0.7679355086701385
