window_size,Total accuracy,Accuracy Activity Make a phone call,Accuracy Activity Wash hands,Accuracy Activity Cook,Accuracy Activity Eat,Accuracy Activity Clean
5,0.7485584843492586,0.9770491803278688,0.5829493087557603,0.7899274047186933,0.472,0.7106690777576854
12,0.7514291763709506,0.9974424552429667,0.5391705069124424,0.8294010889292196,0.38666666666666666,0.7540687160940326
19,0.7501089324618736,1.0,0.5483870967741935,0.8321234119782214,0.41333333333333333,0.7450271247739603
avg,0.7500321977273608,0.9914972118569452,0.5568356374807988,0.8171506352087113,0.424,0.7365883062085595
