window_size,Prior probability Make a phone call,Prior probability Wash hands,Prior probability Cook,Prior probability Eat,Prior probability Clean
5,0.15512753774076002,0.08138122505639424,0.3586673607496096,0.14645150095436404,0.2583723754988721
12,0.1319308254590836,0.08361561775717596,0.36851488678908895,0.15047245498306294,0.2654662150115885
19,0.10742438130155821,0.08597616865261229,0.3789184234647113,0.1547204399633364,0.27296058661778183
