window_size,Total accuracy,Accuracy Activity Make a phone call,Accuracy Activity Wash hands,Accuracy Activity Cook,Accuracy Activity Eat,Accuracy Activity Clean
5,0.6017699115044248,0.9765100671140939,0.3347547974413646,0.7861635220125787,0.07582938388625593,0.5030221625251847
12,0.6912105544660367,0.9689189189189189,0.5863539445628998,0.8843734881470731,0.23104265402843602,0.5789120214909335
19,0.7640696608615949,0.9761092150170648,0.6332622601279317,0.9385582970488631,0.5154028436018957,0.6205507051712559
avg,0.6856833756106854,0.9738460670166925,0.5181236673773987,0.8696984357361716,0.2740916271721959,0.5674949630624581
