window_size,Total accuracy,Accuracy Activity Meal_Preparation,Accuracy Activity Relax,Accuracy Activity Eating,Accuracy Activity Work,Accuracy Activity Sleeping,Accuracy Activity Wash_Dishes,Accuracy Activity Bed_to_Toilet,Accuracy Activity Enter_Home,Accuracy Activity Leave_Home,Accuracy Activity Housekeeping,Accuracy Activity Respirate
5,0.9484361216527438,0.9588769894452976,0.9507701515103789,0.9515369703683191,0.9567244138314897,0.9322429499573253,0.9565627950897073,1.0,0.9636923076923077,0.2827586206896552,0.7959407569939659,0.9828431372549019
12,0.954541081464312,0.969252453326707,0.9534507197530475,0.9543062863472722,0.9613163570583734,0.9393596265068637,0.9641170915958451,0.9969016266460109,0.9772307692307692,0.3084639498432602,0.8025233132199671,0.9852941176470589
19,0.9575822881112588,0.9707067291828763,0.9557218004850853,0.9545139850456937,0.9635427537744382,0.9515654128264543,0.9681775259678942,0.9938032532920217,0.976,0.31536050156739814,0.8201682208813311,0.9852941176470589
avg,0.9535198304094382,0.9662787239849603,0.9533142239161706,0.9534524139204285,0.9605278415547671,0.9410559964302144,0.9629524708844821,0.9969016266460109,0.9723076923076923,0.3021943573667712,0.8062107636984214,0.9844771241830066
