window_size,Total accuracy,Accuracy Activity Make a phone call,Accuracy Activity Wash hands,Accuracy Activity Cook,Accuracy Activity Eat,Accuracy Activity Clean
5,0.967668863261944,0.980327868852459,0.8502304147465438,0.984573502722323,0.9733333333333334,0.9638336347197106
12,0.9597713317806479,0.9757033248081841,0.9078341013824884,0.9782214156079855,0.924,0.9529837251356239
19,0.9230936819172113,0.9984591679506933,0.9101382488479263,0.9786751361161524,0.688,0.9421338155515371
avg,0.950177958986601,0.984830120537112,0.8894009216589862,0.9804900181488203,0.8617777777777779,0.9529837251356238
