Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.7782054015636104, 1.0, 0.875, 0.9850746268656716, 0.65, 0.38095238095238093
12, 0.7662366737739872, 1.0, 0.875, 0.9776119402985075, 0.55, 0.42857142857142855
19, 0.7738557213930348, 1.0, 0.875, 0.9776119402985075, 0.35, 0.6666666666666666
26, 0.7178393745557925, 1.0, 0.75, 0.9701492537313433, 0.25, 0.6190476190476191
33, 0.51682302771855, 0.0, 0.85, 0.9626865671641791, 0.2, 0.5714285714285714
Average, 0.7105920398009951, 0.8, 0.845, 0.9746268656716417, 0.4000000000000001, 0.5333333333333334
