window_size,Total accuracy,Accuracy Activity Other,Accuracy Activity Meal_Preparation,Accuracy Activity Relax,Accuracy Activity Eating,Accuracy Activity Work,Accuracy Activity Sleeping,Accuracy Activity Wash_Dishes,Accuracy Activity Bed_to_Toilet,Accuracy Activity Enter_Home,Accuracy Activity Leave_Home,Accuracy Activity Housekeeping,Accuracy Activity Respirate
5,0.5841498517333642,0.9305858246803241,0.9325731565187262,0.9217668235945722,0.9618033813400125,0.9036595774328962,0.9406043437204911,0.9899302865995352,0.8904615384615384,0.8884012539184953,0.7476686780032913,0.9803921568627451,0.0
12,0.5746379020876761,0.9307813575685485,0.9136485337197215,0.9227360841872058,0.9521324706046058,0.8753048568044038,0.9406043437204911,0.9868319132455461,0.9316923076923077,0.870846394984326,0.6905284329859206,0.9828431372549019,0.0
19,0.5723174999086043,0.9227359939384805,0.8939238353230227,0.9160897258377181,0.9328602240311695,0.800616756973361,0.9375826251180359,0.975987606506584,0.8633846153846154,0.8206896551724138,0.7217955750594258,0.9779411764705882,0.0
avg,0.5770350845765482,0.9280343920624511,0.9133818418538234,0.9201975445398322,0.9489320253252626,0.8598603970702204,0.9395971041863392,0.9842499354505551,0.8951794871794873,0.8599791013584118,0.7199975620162125,0.9803921568627451,0.0
