Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
10, 0.6939141622038872, 0.8263600298665861, 0.6661044411393773, 0.9300135963597851, 0.299807286956407, 0.7472854566972804
20, 0.7577751321686892, 0.8142094641276255, 0.7609582862415436, 0.9268663796343214, 0.44335567187329505, 0.8434858589666598
30, 0.7496581981261914, 0.7699210102984422, 0.7688025666770726, 0.9141380679148717, 0.4541986341775347, 0.8412307115630355
40, 0.7738283915636333, 0.8117264272112299, 0.7590811033482349, 0.9156441719661634, 0.5779302035606996, 0.8047600517318388
50, 0.7626775000152766, 0.8370624026315715, 0.726053667445796, 0.8801660930434508, 0.613432250995597, 0.7566730859599672
Average, 0.7475706768155355, 0.8118558668270909, 0.7362000129704048, 0.9133656617837186, 0.4777448095127067, 0.7986870329837564
