Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.35657153348874066, 0.9777825388323513, 0.5091759939932599, 0.5568645219755324, 0.33578431372549017, 0.4632272228320527, 0.0, 0.921875, 0.15144230769230768, 0.0, 0.0, 0.006134969325153374
12, 0.24593812263104314, 0.9775040171397965, 0.3736334742062799, 0.10647938377888537, 0.02389705882352941, 0.4814175944801631, 0.0, 0.7135416666666666, 0.028846153846153848, 0.0, 0.0, 0.0
19, 0.16277414905336418, 0.9728119978575255, 0.2887433411929089, 0.0031717263253285004, 0.00030637254901960784, 0.5254822016622236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
26, 0.15881654400618295, 0.9646277450455276, 0.2523055963110459, 0.0, 0.0, 0.5300486427114389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
33, 0.15736961536655414, 0.9573219068023567, 0.23525815692028226, 0.0, 0.0, 0.5384857053094565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Average, 0.21629399290917703, 0.9700096411355116, 0.3318233125247554, 0.13330312641594924, 0.07199754901960784, 0.507732273399067, 0.0, 0.3270833333333333, 0.036057692307692304, 0.0, 0.0, 0.001226993865030675
