Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
10, 0.4260292032718766, 0.8242973423891913, 0.0, 0.8967080591209449, 0.09061343948816389, 0.31852717536108266
20, 0.46891486111118413, 0.8490647323073354, 0.06587896884245134, 0.9075989075332437, 0.12224636219344935, 0.3997853346794408
30, 0.5052115513418307, 0.8621185792605621, 0.15113108045851853, 0.9086264472366354, 0.18511241027605121, 0.4190692394773861
40, 0.5443244632637417, 0.8887579791620711, 0.18258839834209423, 0.9106601489062459, 0.29745399716655013, 0.4421617927417475
50, 0.5818917150723271, 0.9195995670995671, 0.21884910561381155, 0.9030475206631381, 0.386465367075105, 0.4814970149100136
Average, 0.5052743588121921, 0.8687676400437454, 0.12368951065137512, 0.9053282166920417, 0.2163783152398639, 0.4122081114339341
