window_size,Total accuracy,Accuracy Activity Make a phone call,Accuracy Activity Wash hands,Accuracy Activity Cook,Accuracy Activity Eat,Accuracy Activity Clean
5,0.34235641159118513,0.0,0.0,0.8950169327527818,0.0035545023696682463,0.08059100067159167
12,0.3663754679978606,0.0,0.0,0.8911465892597968,0.0,0.1430490261920752
19,0.38900091659028413,0.0,0.0,0.9027576197387518,0.0,0.17192746809939558
avg,0.3659109320597766,0.0,0.0,0.8963070472504434,0.0011848341232227487,0.13185583165435413
