Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.2932051353110555, 0.46721735688988564, 0.9226923363928065, 0.0, 0.0, 0.8101872006965607, 0.0, 0.025159594442358244, 1.0, 0.0, 0.0, 0.0
12, 0.21468449845342882, 0.5511845094291998, 0.9572385547186838, 0.0, 0.0, 0.8015824710894704, 0.0, 0.05152394775036284, 0.0, 0.0, 0.0, 0.0
19, 0.20609925477818206, 0.5796936032060062, 0.9534197047303404, 0.0, 0.0, 0.7339784946236559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
26, 0.2983306292421239, 0.6098110172899075, 0.9522756791112831, 0.9985974754558204, 0.0, 0.7209527498063517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
33, 0.29786225911617054, 0.628390772651473, 0.9460266722561375, 0.9860834990059643, 0.0, 0.7159839063643014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Average, 0.2620363553801922, 0.5672594518932944, 0.9463305894418502, 0.39693619489235693, 0.0, 0.756536964516068, 0.0, 0.015336708438544216, 0.2, 0.0, 0.0, 0.0
