window_size,Total accuracy,Accuracy Activity Other,Accuracy Activity Meal_Preparation,Accuracy Activity Relax,Accuracy Activity Eating,Accuracy Activity Work,Accuracy Activity Sleeping,Accuracy Activity Wash_Dishes,Accuracy Activity Bed_to_Toilet,Accuracy Activity Enter_Home,Accuracy Activity Leave_Home,Accuracy Activity Housekeeping,Accuracy Activity Respirate
5,0.3474302174232438,0.17028063043062044,0.8884272529687844,0.7984630296316809,0.7926668058164614,0.8832976258905088,0.8311614730878187,0.9752130131680867,0.8744615384615385,0.8783699059561129,0.21521301883342475,0.8970588235294118,0.0
12,0.30393599982341735,0.13304790963121682,0.8856742369357734,0.8067709775685405,0.45098448479788494,0.5677827329105986,0.8483474976392823,0.9876065065840434,0.9372307692307692,0.8225705329153605,0.27847869811665754,0.9779411764705882,0.0
19,0.30034578637947934,0.13294606958526659,0.8693734841087347,0.7747161451121573,0.34627426424546026,0.5941425510044079,0.8557129367327667,0.983733539891557,0.8529230769230769,0.7460815047021944,0.31002011336624613,0.9607843137254902,0.0
avg,0.3172373345420469,0.14542486988236794,0.8811583246710976,0.7933167174374596,0.5299751849532689,0.6817409699351717,0.8450739691532894,0.9821843532145623,0.8882051282051281,0.8156739811912227,0.26790394343877616,0.9452614379084968,0.0
