Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
10, 0.6620150061205308, 0.703309648429925, 0.4373383869171274, 0.8530360391837706, 0.5455074089483476, 0.7708835471234837
20, 0.7241118278111018, 0.6941902998792725, 0.5151403469383542, 0.8855756761862633, 0.6846437649683256, 0.8410090510832937
30, 0.7759126844333293, 0.6643964854988738, 0.6315574022217909, 0.9258342004502609, 0.8059648876139255, 0.8518104463817954
40, 0.774360671482187, 0.657666016593714, 0.6575201408340977, 0.954871528298795, 0.7290574292370151, 0.8726882424473136
50, 0.7742693261246468, 0.6481429921987197, 0.6944313530980528, 0.9867957279195837, 0.6305617815448497, 0.9114147758620283
Average, 0.742133903194359, 0.673541088520101, 0.5871975260018847, 0.9212226344077348, 0.6791470544624927, 0.8495612125795831
