Window Size, Global accuracy, Activity Make a phone call, Activity Wash hands, Activity Cook, Activity Eat, Activity Clean
5, 0.6991342528655962, 0.7611940298507462, 0.3181818181818182, 0.8558558558558559, 0.7142857142857143, 0.8461538461538461
12, 0.749017719568567, 0.6875, 0.3181818181818182, 0.875, 1.0, 0.864406779661017
19, 0.7357441016333939, 0.6379310344827587, 0.3157894736842105, 0.875, 1.0, 0.85
26, 0.7339666991604037, 0.6122448979591837, 0.3181818181818182, 0.875, 1.0, 0.864406779661017
33, 0.732948717948718, 0.5897435897435898, 0.35, 0.875, 1.0, 0.85
Average, 0.7301622982353357, 0.6577227104072556, 0.32406698564593295, 0.8711711711711712, 0.9428571428571428, 0.8549934810951759
