Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.49433782481156374, 0.554623580337569, 0.8012892219431329, 0.4889624606338815, 0.7124357369414641, 0.7792462118969372, 0.11097395172191549, 0.34220527270586076, 0.6300101594804703, 0.5700749147754752, 0.08272398590999501, 0.3651705765805001
12, 0.5017619800687461, 0.5458036941856619, 0.7929744839975835, 0.5212016275390963, 0.7009782433010465, 0.7794729373252315, 0.12602044921170957, 0.2994354053583779, 0.6628814234420306, 0.6038587940874549, 0.07737820669016089, 0.40937651561785326
19, 0.50512602228236, 0.5429719239223955, 0.7946644451667554, 0.5326124046643701, 0.7029960302257542, 0.7768806507451724, 0.12938658526633814, 0.29798491003380795, 0.6682824908451301, 0.6082528308539819, 0.07762723992966675, 0.4247267334525879
26, 0.5067477609294208, 0.5493245455470203, 0.794666177271439, 0.5281661963126087, 0.7115494794553754, 0.7725899456943554, 0.1311771782549621, 0.2885339460146078, 0.6748882173926647, 0.6135195944299943, 0.07823782715497156, 0.4315722626956286
33, 0.5087054200456972, 0.5454591285063214, 0.7961200864948911, 0.5289285755191234, 0.7241730078015708, 0.7708919839799265, 0.1302131944220128, 0.31063710923782784, 0.6766170003509332, 0.6102710153718839, 0.07835755432653255, 0.42409096449164563
Average, 0.5033358016275575, 0.5476365744997935, 0.7959428829747603, 0.519974252933816, 0.7104264995450422, 0.7758163459283247, 0.1255542717753876, 0.3077593286700965, 0.6625358583022458, 0.601195429903758, 0.07886496280226536, 0.4109874105676431
