Window Size, Global accuracy, Activity Meal_Preparation, Activity Relax, Activity Eating, Activity Work, Activity Sleeping, Activity Wash_Dishes, Activity Bed_to_Toilet, Activity Enter_Home, Activity Leave_Home, Activity Housekeeping, Activity Respirate
5, 0.703876844765156, 0.42906869714183804, 0.6994452024275475, 0.7425090975781372, 0.8411927194954171, 0.773088442760512, 0.5309442472990373, 0.8680280401775861, 0.6640908994120569, 0.6959380706290605, 0.621395130499445, 0.8769447449960783
12, 0.7010578943236963, 0.42277715838620517, 0.6725057699747714, 0.7454626293095415, 0.8328272071010463, 0.7358861377306176, 0.5286928482799291, 0.8650612449386348, 0.6737873517203343, 0.6684150493554432, 0.69608973621332, 0.8701317045508157
19, 0.7005833009103739, 0.41752315278490304, 0.6720233219193739, 0.7417284337377216, 0.827925637715228, 0.731304428810166, 0.5350394493829221, 0.8597473531436034, 0.662544687567812, 0.6601533961273263, 0.727257357161575, 0.8711690916634826
26, 0.7032616255785786, 0.4123276891367917, 0.6724664497144327, 0.7472673798903385, 0.8325899747939477, 0.7225562156310166, 0.5412175329979699, 0.8591401409741385, 0.6793847508484576, 0.6489524536085421, 0.7490350197195761, 0.8709402740491518
33, 0.7037511996042045, 0.4144414771460957, 0.6693382777337645, 0.744637406783402, 0.8271233333198461, 0.7241301665117984, 0.5414251981392748, 0.8525082390290365, 0.6700883130382745, 0.6580733259029131, 0.7530171498038579, 0.8864803082379863
Average, 0.702506173036402, 0.4192276349191667, 0.677155804353978, 0.7443209894598282, 0.8323317744850971, 0.7373930782888222, 0.5354638552198268, 0.8608970036525999, 0.6699792005173871, 0.666306459124657, 0.7093588786795548, 0.8751332246995028
