Window Size, Global accuracy, Activity Fill medication dispenser, Activity Wash DVD, Activity Water plants, Activity Answer the phone, Activity Prepare birthday card, Activity Prepare soup, Activity Clean, Activity Choose outfit
5, 0.5002736639517564, 0.4556866346004888, 0.5887361740779886, 0.40695022984739626, 0.34488485168384686, 0.7068730212059731, 0.5110212377975293, 0.5959582938323337, 0.3920788685684945
12, 0.5907528750607868, 0.4821088696626717, 0.6680717090863324, 0.5547663262595883, 0.4576591749455895, 0.750340363576293, 0.6337642442149033, 0.7598040798032135, 0.4195082329377021
19, 0.643501989677487, 0.5280011594996007, 0.7168907354505286, 0.6532902862469732, 0.5124091991465235, 0.7630646406589254, 0.6885644231975846, 0.8494838433046352, 0.43631162991512396
26, 0.6719095981594395, 0.5492035207456685, 0.7295361727663168, 0.7329082839827675, 0.5589024111494406, 0.7778197761138174, 0.6767093970005165, 0.8930696295662246, 0.4571275939507647
33, 0.6767900562159548, 0.5458141938657703, 0.725615192565942, 0.7533250609019909, 0.5701378662561477, 0.7792017749594093, 0.6600953261022608, 0.9158589944088964, 0.46427204066721994
Average, 0.6166456366130848, 0.51216287567484, 0.6857699967894216, 0.6202480374477433, 0.4887987006363096, 0.7554599153028836, 0.6340309256625589, 0.8028349681830607, 0.433859673207861
